K,Accuracy
1,1.0
2,1.0
3,0.75
4,0.8
5,0.8333333333333334
6,0.8571428571428571
7,0.7777777777777778
8,0.8
9,0.8181818181818182
10,0.8333333333333334
11,0.8461538461538461
12,0.8571428571428571
13,0.8
14,0.8125
15,0.8235294117647058
16,0.7777777777777778
17,0.7894736842105263
18,0.8
19,0.8095238095238095
20,0.8260869565217391
21,0.84
22,0.8461538461538461
23,0.8518518518518519
24,0.8275862068965517
25,0.8333333333333334
26,0.7878787878787878
27,0.7647058823529411
28,0.7714285714285715
29,0.7777777777777778
30,0.7837837837837838
31,0.7894736842105263
32,0.7948717948717948
33,0.775
34,0.7804878048780488
35,0.7619047619047619
36,0.7674418604651163
37,0.7777777777777778
38,0.7608695652173914
39,0.75
40,0.7551020408163265
41,0.75
42,0.7358490566037735
43,0.7090909090909091
44,0.7142857142857143
45,0.7017543859649122
46,0.6896551724137931
47,0.6779661016949152
48,0.6721311475409836
49,0.6507936507936508
50,0.640625
51,0.6268656716417911
52,0.6176470588235294
53,0.6086956521739131
54,0.6142857142857143
55,0.6111111111111112
56,0.6164383561643836
57,0.6081081081081081
58,0.6133333333333333
59,0.6052631578947368
60,0.6103896103896104
61,0.6025641025641025
62,0.6075949367088608
63,0.6172839506172839
64,0.6144578313253012
65,0.6071428571428571
66,0.611764705882353
67,0.6046511627906976
68,0.6
69,0.6043956043956044
70,0.5978260869565217
71,0.6021505376344086
72,0.6063829787234043
73,0.6
74,0.59375
75,0.5979381443298969
76,0.5841584158415841
77,0.5728155339805825
78,0.5673076923076923
79,0.5619047619047619
80,0.5566037735849056
81,0.5648148148148148
82,0.5596330275229358
83,0.5526315789473685
84,0.5565217391304348
85,0.5583333333333333
86,0.5447154471544715
87,0.5403225806451613
88,0.5426356589147286
89,0.5522388059701493
90,0.5481481481481482
91,0.5323741007194245
92,0.5390070921985816
93,0.5422535211267606
94,0.5384615384615384
95,0.5448275862068965
96,0.541095890410959
97,0.5374149659863946
98,0.5337837837837838
99,0.5302013422818792
100,0.5333333333333333
