K,Accuracy
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,0.8571428571428571
8,0.875
9,0.8888888888888888
10,0.9
11,0.9090909090909091
12,0.9166666666666666
13,0.9230769230769231
14,0.8571428571428571
15,0.8666666666666667
16,0.875
17,0.8823529411764706
18,0.8333333333333334
19,0.8421052631578947
20,0.85
21,0.8571428571428571
22,0.8636363636363636
23,0.8695652173913043
24,0.875
25,0.84
26,0.8076923076923077
27,0.8148148148148148
28,0.7857142857142857
29,0.7586206896551724
30,0.7666666666666667
31,0.7741935483870968
32,0.75
33,0.7575757575757576
34,0.7647058823529411
35,0.7428571428571429
36,0.75
37,0.7567567567567568
38,0.7631578947368421
39,0.7435897435897436
40,0.75
41,0.7560975609756098
42,0.7619047619047619
43,0.7441860465116279
44,0.75
45,0.7555555555555555
46,0.7608695652173914
47,0.7446808510638298
48,0.75
49,0.7551020408163265
50,0.74
51,0.7254901960784313
52,0.7115384615384616
53,0.6981132075471698
54,0.7037037037037037
55,0.6909090909090909
56,0.6785714285714286
57,0.6666666666666666
58,0.6551724137931034
59,0.6440677966101694
60,0.65
61,0.6557377049180327
62,0.6612903225806451
63,0.6666666666666666
64,0.65625
65,0.6615384615384615
66,0.6515151515151515
67,0.6417910447761194
68,0.6470588235294118
69,0.6376811594202898
70,0.6428571428571429
71,0.647887323943662
72,0.6527777777777778
73,0.6438356164383562
74,0.6486486486486487
75,0.64
76,0.6447368421052632
77,0.6493506493506493
78,0.6410256410256411
79,0.6329113924050633
80,0.6375
81,0.6296296296296297
82,0.6341463414634146
83,0.6385542168674698
84,0.6309523809523809
85,0.6352941176470588
86,0.627906976744186
87,0.6206896551724138
88,0.6136363636363636
89,0.6179775280898876
90,0.6111111111111112
91,0.6043956043956044
92,0.6086956521739131
93,0.6129032258064516
94,0.6170212765957447
95,0.6105263157894737
96,0.6145833333333334
97,0.6185567010309279
98,0.6122448979591837
99,0.6161616161616161
100,0.62
